                         Write speed in GB/s
Buffer size
(bytes)        4k    40k   200k   400k   800k     2M     4M

# channels        
      1      0.49   1.04   1.17   1.17   1.14   1.16   1.15
      2      0.79   1.87   2.12   2.12   2.12   2.16   2.03
      3      1.14   2.74   3.03   2.80   3.06   2.99   2.89
      4      1.53   3.37   3.19   3.98   3.92   3.82   3.75
      5      1.86   4.13   3.21   3.35   3.02   4.10   2.90
      6      2.10   3.49   3.27   3.40   3.37   3.57   3.64
      7      2.27   3.33   3.30   2.92   3.38   3.59   4.40
      8      2.58   3.36   3.39   3.26   3.69   3.31   3.95
      9      2.73   3.39   3.46   3.38   3.24   3.51   3.27
     10      2.98   3.44   3.34   3.20   3.35   3.23   3.61
     11      3.06   3.49   3.54   3.56   3.56   3.90   5.21
     12      3.60   3.60   3.48   3.77   3.53   3.49   4.53
     13      3.18   3.30   3.40   3.75   3.92   3.64   4.49
     14      3.30   3.16   3.50   3.28   3.67   4.59   5.30
     15      3.52   3.84   3.81   3.73   3.64   4.07   4.73
     16      3.31   3.32   3.29   3.62   4.04   4.27   4.48
     17      3.52   3.79   3.66   3.80   3.95   4.10   4.01
     18      3.29   3.17   3.79   3.78   3.85   3.91   3.96
     19      3.21   3.77   3.41   3.78   3.44   3.92   3.44
     20      3.26   3.71   3.69   3.70   3.74   3.67   3.81

